010.010.010.004 2021.01.29 10:11:13.105 КОНФИГУРАЦИЯ   RTIambassadorImpl.newInstance Версия СПО: 2.0.0164 для Win32
010.010.010.004 2021.01.29 10:11:13.106 КОНФИГУРАЦИЯ   ConfigurationManager Значение переменной окружения [RRTI_HOME]: [C:\HLA\rrti-2.0\RRTI-2.0.0164].
010.010.010.004 2021.01.29 10:11:13.106 КОНФИГУРАЦИЯ   ConfigurationManager Значение переменной окружения [CRC_CONFIG]: [(null)].
010.010.010.004 2021.01.29 10:11:13.106 КОНФИГУРАЦИЯ   ConfigurationManager Значение переменной окружения [LSRC_CONFIG]: [(null)].
010.010.010.004 2021.01.29 10:11:13.111 КОНФИГУРАЦИЯ   ConfigurationManager Значение переменной окружения [LRC_CONFIG]: [(null)].
010.010.010.004 2021.01.29 10:11:13.111 КОНФИГУРАЦИЯ   ConfigurationManager - Конфигурационный файл читается из директории RRTI_HOME/conf.
010.010.010.004 2021.01.29 10:11:13.111 КОНФИГУРАЦИЯ   ConfigurationManager Используется конфигурационный файл [C:\HLA\rrti-2.0\RRTI-2.0.0164\conf\lrc.cfg].
010.010.010.004 2021.01.29 10:11:13.111 КОНФИГУРАЦИЯ   ConfigurationParameter Параметр [LRC.TRANSPORT_KILL_ON_DEADLOCK] = [false].
010.010.010.004 2021.01.29 10:11:13.111 КОНФИГУРАЦИЯ   ConfigurationParameter Параметр [LRC.TRANSPORT_KILL_SLOW_READERS] = [false].
010.010.010.004 2021.01.29 10:11:19.160 БЕЗУСЛОВНОЕ    libtransport.RRTITransport.init Абонент 1 не обнаружил записи CRC в локальной карте адресации.
010.010.010.004 2021.01.29 10:11:19.192 БЕЗУСЛОВНОЕ    RTIambassadorImpl.newInstance Центральный компонент не найден
010.010.010.004 2021.01.29 10:11:20.198 ИНФОРМАЦИОННОЕ Logger Журнал закрыт
