010.010.010.004 2021.01.29 09:23:17.574 КОНФИГУРАЦИЯ   lsrc.main Версия СПО: 2.0.0164
010.010.010.004 2021.01.29 09:23:17.574 ОТЛАДКА_2      ConfigurationManager ConfigurationManager::read()
010.010.010.004 2021.01.29 09:23:17.575 ОТЛАДКА_2      ConfigurationManager Чтение переменных окружения.
010.010.010.004 2021.01.29 09:23:17.575 ОТЛАДКА_2      ConfigurationManager Чтение переменной окружения: RRTI_HOME.
010.010.010.004 2021.01.29 09:23:17.575 КОНФИГУРАЦИЯ   ConfigurationManager Значение переменной окружения [RRTI_HOME]: [C:\HLA\rrti-2.0\RRTI-2.0.0164].
010.010.010.004 2021.01.29 09:23:17.575 ОТЛАДКА_2      ConfigurationManager Чтение переменной окружения: CRC_CONFIG.
010.010.010.004 2021.01.29 09:23:17.575 КОНФИГУРАЦИЯ   ConfigurationManager Значение переменной окружения [CRC_CONFIG]: [(null)].
010.010.010.004 2021.01.29 09:23:17.575 ОТЛАДКА_2      ConfigurationManager Чтение переменной окружения: LSRC_CONFIG.
010.010.010.004 2021.01.29 09:23:17.575 КОНФИГУРАЦИЯ   ConfigurationManager Значение переменной окружения [LSRC_CONFIG]: [(null)].
010.010.010.004 2021.01.29 09:23:17.575 ОТЛАДКА_2      ConfigurationManager Чтение переменной окружения: LRC_CONFIG.
010.010.010.004 2021.01.29 09:23:17.575 КОНФИГУРАЦИЯ   ConfigurationManager Значение переменной окружения [LRC_CONFIG]: [(null)].
010.010.010.004 2021.01.29 09:23:17.575 ОТЛАДКА_2      ConfigurationManager Поиск конфигурационного файла [lsrc.cfg]:
010.010.010.004 2021.01.29 09:23:17.575 ОТЛАДКА_2      ConfigurationManager - Согласно переменной окружения...
010.010.010.004 2021.01.29 09:23:17.575 ОТЛАДКА_2      ConfigurationManager - Переменная окружения не установлена...
010.010.010.004 2021.01.29 09:23:17.575 ОТЛАДКА_2      ConfigurationManager - В директории RRTI_HOME/conf...
010.010.010.004 2021.01.29 09:23:17.575 КОНФИГУРАЦИЯ   ConfigurationManager - Конфигурационный файл читается из директории RRTI_HOME/conf.
010.010.010.004 2021.01.29 09:23:17.575 КОНФИГУРАЦИЯ   ConfigurationManager Используется конфигурационный файл [C:\HLA\rrti-2.0\RRTI-2.0.0164\conf\lsrc.cfg].
010.010.010.004 2021.01.29 09:23:17.575 КОНФИГУРАЦИЯ   ConfigurationParameter Параметр [CRC.ADDRESS] = [10.55.82.125].
010.010.010.004 2021.01.29 09:23:17.575 КОНФИГУРАЦИЯ   ConfigurationParameter Параметр [TRANSPORT.OWN_ADDRESS] = [10.55.82.209].
010.010.010.004 2021.01.29 09:23:17.575 КОНФИГУРАЦИЯ   ConfigurationParameter Параметр [LSRC.TRANSPORT_KILL_ON_DEADLOCK] = [false].
010.010.010.004 2021.01.29 09:23:17.575 КОНФИГУРАЦИЯ   ConfigurationParameter Параметр [LSRC.TRANSPORT_DEADLOCK_TIMEOUT] = [600000].
010.010.010.004 2021.01.29 09:23:17.575 КОНФИГУРАЦИЯ   ConfigurationParameter Параметр [LSRC.TRANSPORT_KILL_SLOW_READERS] = [false].
010.010.010.004 2021.01.29 09:23:17.601 БЕЗУСЛОВНОЕ    lsrc.UDPSocket.UDPSocket Ошибка вызова bind(), системная ошибка Unknown error (10049)
010.010.010.004 2021.01.29 09:23:17.601 БЕЗУСЛОВНОЕ    lsrc.UDPSocket.UDPSocket Ошибка вызова bind(), системная ошибка Unknown error (10049)
010.010.010.004 2021.01.29 09:23:17.601 БЕЗУСЛОВНОЕ    lsrc.UDPSocket.UDPSocket Ошибка вызова bind(), системная ошибка Unknown error (10049)
010.010.010.004 2021.01.29 09:23:17.601 ОШИБКА         lsrc.Socket.setMulticast Множественное вещание не поддерживается, системная ошибка Unknown error (10038)
010.010.010.004 2021.01.29 09:23:17.601 БЕЗУСЛОВНОЕ    lsrc.UDPMSocket.UDPMSocket Невозможно использовать multicast на данном хосте.
010.010.010.004 2021.01.29 09:23:17.602 ОШИБКА         lsrc.TCPStream.connect Ошибка вызова bind(), системная ошибка Unknown error (10049)
010.010.010.004 2021.01.29 09:23:17.602 ОШИБКА         lsrc.RUDistributor.addPeer Ошибка при соединении с хостом 10.55.82.125
010.010.010.004 2021.01.29 09:23:17.602 БЕЗУСЛОВНОЕ    lsrc.TCPSocket.TCPSocket Ошибка вызова bind(), системная ошибка Unknown error (10049)
010.010.010.004 2021.01.29 09:23:17.602 БЕЗУСЛОВНОЕ    lsrc.RUDistributor.init Ошибка при соединении с хостом CRC 10.55.82.125
010.010.010.004 2021.01.29 09:23:17.602 БЕЗУСЛОВНОЕ    lsrc.main Невозможно инициализировать дистрибьютор LOW_LATENCY RU сообщений, ошибка 7
010.010.010.004 2021.01.29 09:23:17.602 БЕЗУСЛОВНОЕ    lsrc.RUDistributor.ServerEntry Ошибка создания TCP сервера на порте 4000
